id,required_block_index,required_ap,required_gold,material_item_id_1,material_item_count_1,material_item_id_2,material_item_count_2,material_item_id_3,material_item_count_3,material_item_id_4,material_item_count_4,result_consumable_item_id
100000,1,0,0,302001,1,,,,,,,201000
100001,1,0,0,302001,1,,,,,,,201001
100002,1,0,0,302001,1,,,,,,,201002
100003,1,0,0,302001,1,,,,,,,201003
100004,1,0,0,302001,1,,,,,,,201004
100005,1,0,0,302001,1,,,,,,,201005
100006,1,0,0,302001,1,,,,,,,201006
100007,1,0,0,302001,1,,,,,,,201007
100008,1,0,0,302001,1,,,,,,,201011
100009,1,0,0,302001,1,,,,,,,201012
100010,1,0,0,302001,1,,,,,,,201013
100011,1,0,0,302001,1,,,,,,,201008
100012,1,0,0,302001,1,,,,,,,201009
100013,1,0,0,302001,1,,,,,,,201010
